2019.06.15 18:30:30.269 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@156169a9 With pool 4.
2019.06.15 18:30:30.271 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 18:31:10.769 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@183424f7 With pool 4.
2019.06.15 18:31:10.771 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 18:33:43.039 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@6163d921 With pool 4.
2019.06.15 18:33:43.042 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 19:06:43.430 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@26d6e6a9 With pool 4.
2019.06.15 19:06:43.433 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 19:07:25.936 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@d5e1c6a With pool 4.
2019.06.15 19:07:25.938 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 19:07:35.219 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@f070799 With pool 4.
2019.06.15 19:07:35.219 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 19:09:29.754 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@600a9d4b With pool 4.
2019.06.15 19:09:29.756 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 19:09:39.742 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@34ea7db3 With pool 4.
2019.06.15 19:09:39.742 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 19:09:42.082 INFO  Model.MyModel - Cient connected to server with port 5401 via strategy Model.MyModel$2@3d4817f4 With pool 4.
2019.06.15 19:09:42.082 INFO  Model.MyModel - Cient solved a maze via DFS solving strategy. Maze was solved in 10 steps.
2019.06.15 19:12:56.963 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@183424f7 With pool 4.
2019.06.15 19:12:56.965 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 19:12:58.700 INFO  Model.MyModel - Cient connected to server with port 5401 via strategy Model.MyModel$2@730deb20 With pool 4.
2019.06.15 19:12:58.701 INFO  Model.MyModel - Cient solved a maze via DFS solving strategy. Maze was solved in 10 steps.
2019.06.15 19:13:13.701 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@3d8459d2 With pool 4.
2019.06.15 19:13:13.702 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 19:13:17.551 INFO  Model.MyModel - Stopping server: Server.Server@56a7d6db
2019.06.15 19:13:17.551 INFO  Model.MyModel - Stopping server: Server.Server@4bf48f29
2019.06.15 19:22:35.590 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@124e74d5 With pool 4.
2019.06.15 19:22:35.592 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 19:22:38.088 INFO  Model.MyModel - Cient connected to server with port 5401 via strategy Model.MyModel$2@246286d8 With pool 4.
2019.06.15 19:22:38.088 INFO  Model.MyModel - Cient solved a maze via DFS solving strategy. Maze was solved in 11 steps.
2019.06.15 19:22:51.683 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@a58eafd With pool 4.
2019.06.15 19:22:51.683 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 19:22:56.803 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@77ac037b With pool 4.
2019.06.15 19:22:56.804 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 19:23:00.044 INFO  Model.MyModel - Cient connected to server with port 5401 via strategy Model.MyModel$2@344e043f With pool 4.
2019.06.15 19:23:00.045 INFO  Model.MyModel - Cient solved a maze via DFS solving strategy. Maze was solved in 14 steps.
2019.06.15 19:23:51.952 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@6aa161dd With pool 4.
2019.06.15 19:23:51.952 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 19:23:57.160 INFO  Model.MyModel - Stopping server: Server.Server@1ff328e1
2019.06.15 19:23:57.169 INFO  Model.MyModel - Stopping server: Server.Server@49e00e56
2019.06.15 20:46:46.091 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@237615 With pool 4.
2019.06.15 20:46:46.099 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 20:48:09.363 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@b68739 With pool 4.
2019.06.15 20:48:09.363 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2019.06.15 20:48:59.098 INFO  Model.MyModel - Stopping server: Server.Server@2164da
2020.06.07 20:31:47.675 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@683cb11a With pool 4.
2020.06.07 20:31:47.678 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2020.06.07 20:31:53.185 INFO  Model.MyModel - Cient connected to server with port 5401 via strategy Model.MyModel$2@757f305 With pool 4.
2020.06.07 20:31:53.185 INFO  Model.MyModel - Cient solved a maze via BFS solving strategy. Maze was solved in 14 steps.
2020.06.07 20:32:11.316 INFO  Model.MyModel - Cient connected to server with port 5400 via strategy Model.MyModel$1@7536d7c3 With pool 4.
2020.06.07 20:32:11.317 INFO  Model.MyModel - Cient gentrated a maze via MyMaze generating strategy
2020.06.07 20:32:14.126 INFO  Model.MyModel - Stopping server: Server.Server@6e65c425
2020.06.07 20:32:14.127 INFO  Model.MyModel - Stopping server: Server.Server@5c2639b3
